;ColourChecker;patch_id;illuminant;X;Y;Z;R;G;B
0;CCDSG;B2;JN-D65;0.19215262459408575;0.11882442396847034;0.1616506638645855;0.21619278585717638;0.06927386399634607;0.1142931839480076
1;CCDSG;B3;JN-D65;0.4506983172826833;0.3620524133107526;0.5238125623237049;0.47580781125020555;0.35619532592815384;0.48322836824286686
2;CCDSG;B4;JN-D65;0.17713598565860011;0.10795018171898718;0.28700045792205725;0.139863543401245;0.07985970225115116;0.19450558817613348
3;CCDSG;B5;JN-D65;0.23373059291857512;0.24609739488391258;0.6250164727860156;0.13213339762083043;0.3125996745762198;0.5406244006542711
4;CCDSG;B6;JN-D65;0.2925699566214528;0.36080623629078534;0.5905966369172518;0.19151772243447387;0.40133942748714924;0.5262198759199497
5;CCDSG;B7;JN-D65;0.059366050603025265;0.07236452120878838;0.08453276710187109;0.019968611948853122;0.04369105502263674;0.05023749467031676
6;CCDSG;B8;JN-D65;0.25570290206036794;0.3523083242313039;0.45311618934388836;0.15348250108165842;0.34153663059337547;0.3868663740776681
7;CCDSG;B9;JN-D65;0.07421501966475837;0.07280823329945758;0.059925745820019166;0.03724169916963757;0.029973702128356487;0.02325955197915979
8;CCDSG;C2;JN-D65;0.09561992993630693;0.07776207285359887;0.1292030168094581;0.0687401912340166;0.05210039870366866;0.08952377883334815
9;CCDSG;C3;JN-D65;0.20626385341173142;0.16900988302817968;0.3742409015267871;0.17115939414355802;0.1891530818049645;0.33471285719706045
10;CCDSG;C4;JN-D65;0.08062442668253804;0.07584982966205274;0.17933210147944417;0.031069540658382733;0.06796124107874661;0.13245014353112025
11;CCDSG;C5;JN-D65;0.35428913596806566;0.3579521330511717;0.6514833749821052;0.2720099927676566;0.4020862079440291;0.5785937701135445
12;CCDSG;C6;JN-D65;0.06488979419407592;0.07464989879657861;0.122195122435993;0.02550047656832489;0.05806822370844867;0.08356908681497437
13;CCDSG;C7;JN-D65;0.31699780379159964;0.3527851267751866;0.6337676097798435;0.21450587767600698;0.38140027486126504;0.5382361568137044
