;ColourChecker;patch_id;illuminant;X;Y;Z;R;G;B
456;CCDSG;K2;OUT-38;0.7921085791542604;0.7424406213313403;0.5652679969467789;0.7747671141005263;0.6186251646057972;0.5145427839550412
457;CCDSG;K3;OUT-38;0.7510252554664911;0.8320792553521774;0.763146858230646;0.680310790268825;0.8206833218370554;0.7560755931903815
458;CCDSG;K4;OUT-38;0.7563387699111137;0.7271350687361183;0.823189433029408;0.74517750739818;0.7060135486869857;0.7723137827623066
459;CCDSG;K5;OUT-38;0.6548868614912229;0.7069565361356427;0.832036686014028;0.6119204314293009;0.7540622670261867;0.8194784091796062
460;CCDSG;K6;OUT-38;0.4875711070859829;0.48662843632126246;0.5008658844702817;0.47010841769230155;0.470046472832454;0.47121890519984594
461;CCDSG;K7;OUT-38;0.19865106244112377;0.19843023591443554;0.20186912048511355;0.1697705519082279;0.16836224323735186;0.16652502001330136
462;CCDSG;K8;OUT-38;0.07143321202447434;0.07125809825448581;0.07429643483169647;0.03340366088717676;0.033681108181468;0.033576223746451306
463;CCDSG;K9;OUT-38;0.3295625664309473;0.3744540603651063;0.1136736399802553;0.30012906232794284;0.31522395844219964;0.10800861039633755
464;CCDSG;L2;OUT-38;0.10862867647781381;0.07923619355987095;0.06904030479870027;0.09185484179413536;0.024092913813748354;0.026943289948065403
465;CCDSG;L3;OUT-38;0.3308720879081861;0.18705031871352662;0.06174018907808884;0.4293176952367907;0.058825359096940005;0.02854596673115218
466;CCDSG;L4;OUT-38;0.4615554221352615;0.3494959373427406;0.33702162153218446;0.523984601467806;0.25689627371293944;0.2824352559219052
467;CCDSG;L5;OUT-38;0.47653083563935955;0.36193469196457934;0.2639911228674057;0.5662642993676746;0.25605744356621507;0.2292763151528913
468;CCDSG;L6;OUT-38;0.5450989167362343;0.37376126186645825;0.06368529978819622;0.6958872167811269;0.18820638655562558;0.03944926491031267
469;CCDSG;L7;OUT-38;0.4757872152736594;0.5199834461017645;0.07468065519965167;0.4588681651891061;0.4147419110496649;0.0770371799081291
