;ColourChecker;patch_id;illuminant;X;Y;Z;R;G;B
1417;CCPPV;A2;SPD38;0.3150699407928896;0.21433796052919174;0.13167735497809252;0.40217495933226827;0.1408081693396823;0.11782936585897374
1418;CCPPV;A3;SPD38;0.33239838656816245;0.22650410023486567;0.43029275437537334;0.4298865299149232;0.2527889459798884;0.43663707639045957
1419;CCPPV;A4;SPD38;0.15735149625780975;0.12880677487414513;0.3826973627927363;0.14681187382741626;0.1912927238877304;0.3978970377255385
1420;CCPPV;A5;SPD38;0.3026656191062248;0.3795528935476543;0.4793271495551412;0.32758062260526544;0.5741975806095828;0.6510049247420825
1421;CCPPV;A6;SPD38;0.2953073650882315;0.4338642362373882;0.1822436791288718;0.2492848714827028;0.4309400211174607;0.23734598830807124
1422;CCPPV;B1;SPD38;0.08111511856803258;0.07396162134973863;0.054472464040469945;0.07540708596253423;0.05739596415325747;0.049125870662372034
1423;CCPPV;B2;SPD38;0.17352993239581105;0.15108535338849438;0.09100499980702624;0.19328902210375223;0.11669720561289164;0.0827116871410246
1424;CCPPV;B3;SPD38;0.3141637321973599;0.2878384758321828;0.20381347033046307;0.40919820244690497;0.29937206436413794;0.2413486826356203
1425;CCPPV;B4;SPD38;0.2733128693231234;0.24405597334121315;0.15345671905793953;0.33428118762490155;0.22157569197918842;0.16284172311492
1426;CCPPV;B5;SPD38;0.4439338191723811;0.41147021875618184;0.31054283749260087;0.5071216205826247;0.3931325605950535;0.34193691113176616
1427;CCPPV;B6;SPD38;0.5027470409269443;0.46852716800335337;0.3660932383309171;0.5583263359206104;0.43817583962494444;0.37872678164885576
1428;CCPPV;C1;SPD38;0.056645578625500945;0.05639662054486512;0.059146902849381976;0.04619079416951558;0.046709587856577736;0.048856148993671966
1429;CCPPV;C2;SPD38;0.07929516249041069;0.07902692051380818;0.08388559108314081;0.058879368640653455;0.059597121201871744;0.06219612459283791
1430;CCPPV;C3;SPD38;0.16455024388241693;0.16362261202355122;0.1709575608865711;0.16240273495415009;0.16367532051187783;0.16811233628905908
1431;CCPPV;C4;SPD38;0.2515954177570045;0.25143186533468054;0.2594682309278332;0.2615532984905567;0.2654535401158225;0.269937941315829
1432;CCPPV;C5;SPD38;0.41547444794387506;0.4139733428008343;0.43509164675105033;0.4424721864195506;0.4486970703199677;0.46168053728061126
1433;CCPPV;C6;SPD38;0.6351582504613525;0.6336489942483409;0.6635456127064565;0.7141665370102089;0.7231359723296559;0.7440137060706568
1434;CCPPV;D1;SPD38;0.043878818870027037;0.04382360151117229;0.04655272120017099;0.03721210969117951;0.038390837727902395;0.04077605548465703
1435;CCPPV;D2;SPD38;0.03822076045054724;0.03811897165624555;0.040307291396039245;0.0348752664515883;0.03549792207715814;0.03747831082832412
1436;CCPPV;D3;SPD38;0.05938331084265098;0.05907550235471251;0.06384074068597503;0.01076279769778563;0.010566965585597773;0.01161804935308073
1437;CCPPV;D4;SPD38;0.9531213002948746;0.9516591705398117;0.9851726576216345;0.8413997812085112;0.8527762990326556;0.8758834571260176
1438;CCPPV;D5;SPD38;0.971005998313536;0.9711391001005365;0.9952703685050033;0.9258827183177636;0.9354958632717946;0.9547461933543223
1439;CCPPV;D6;SPD38;1.0;1.0;1.0;1.0;1.0;1.0
1440;XRCCPP;A1;SPD38;0.15399442790297022;0.13241315674128595;0.08622728972063146;0.15535822559508677;0.10262030230290302;0.08308385173665112
1441;XRCCPP;A2;SPD38;0.48672199805063243;0.41902308747976347;0.290144012061818;0.5229281984078863;0.3398399407396295;0.2970418610679108
1442;XRCCPP;A3;SPD38;0.20921812635198395;0.21235852272487438;0.37526927618577177;0.18547929665343166;0.24847160753131803;0.3471034214618973
1443;XRCCPP;A4;SPD38;0.13670733431964044;0.15974225057543168;0.08478487122649256;0.13275764273280263;0.14966877015977798;0.09584305339554172
1444;XRCCPP;A5;SPD38;0.29012927230688645;0.26274398367236845;0.4721891465054998;0.29031627124611264;0.30642042044857853;0.43532594608605496
1445;XRCCPP;A6;SPD38;0.3922019050448193;0.5129330578758847;0.5371958088832882;0.32714123652864435;0.5450828895056635;0.5344446604458268
1446;XRCCPP;B1;SPD38;0.4952913267715641;0.3742023193949659;0.08003965648456147;0.561611281710251;0.2338276385867527;0.09752138413685849
1447;XRCCPP;B2;SPD38;0.17187424206876584;0.14658771985344296;0.4652835508824174;0.12611242591976843;0.1894667504313255;0.37487687921202695
1448;XRCCPP;B3;SPD38;0.373921718239659;0.2374983883220463;0.1608574356829693;0.44360122831380683;0.14713356087315282;0.14020865733540694
1449;XRCCPP;B4;SPD38;0.11345589533745305;0.08143703291108989;0.17145069648163744;0.11556027148082228;0.0836349486160078;0.13771384136858475
1450;XRCCPP;B5;SPD38;0.4143198202082268;0.508041275261572;0.13109297320773422;0.43626655191972935;0.4840995611732053;0.20465266977708657
1451;XRCCPP;B6;SPD38;0.5681271467619055;0.4983605381241101;0.09384528662470112;0.6656169929782698;0.3726277098492236;0.13179108346293414
1452;XRCCPP;C1;SPD38;0.08876075045341703;0.07114966831635515;0.26673709743735924;0.06489721673479766;0.11153514365013878;0.26497861586314153
1453;XRCCPP;C2;SPD38;0.18364321986755996;0.27549569859778217;0.11940936398290836;0.1608201146165431;0.26720613607381294;0.1590428978745464
1454;XRCCPP;C3;SPD38;0.2655140287793707;0.15371945310852886;0.06233906063225911;0.33762004420364977;0.08611741429750207;0.0651146967340591
1455;XRCCPP;C4;SPD38;0.6706380466259273;0.6722606750262318;0.10534052822027454;0.7685714006298042;0.5513628947565824;0.17085277345775013
1456;XRCCPP;C5;SPD38;0.36935026208110444;0.23298840388806002;0.34682648153677675;0.44781622234827;0.19596007426299603;0.2907384007257646
1457;XRCCPP;C6;SPD38;0.17817788103282584;0.2317252557916862;0.45377806621679584;0.13348133080368496;0.3047783362088366;0.4370269569725246
1458;XRCCPP;D1;SPD38;1.0;1.0;1.0;1.0;1.0;1.0
1459;XRCCPP;D2;SPD38;0.6943638379921995;0.6945521862965907;0.7251695999052393;0.6703503041445812;0.6800408821543771;0.6902734577501295
1460;XRCCPP;D3;SPD38;0.42163832636382675;0.42228753558432663;0.44384811626556775;0.4220079410096427;0.42397888380466586;0.4294647485743909
1461;XRCCPP;D4;SPD38;0.2347349844851618;0.23461432255814849;0.24485840729847932;0.22479805190994975;0.22608487735353688;0.22423049507516848
