Date Saved,2022/06/19 09:29:43
Spectral Data 440[nm],0.044961672276
Spectral Data 441[nm],0.042315479368
Spectral Data 442[nm],0.039567615837
Spectral Data 443[nm],0.036922320724
Spectral Data 444[nm],0.034542709589
Spectral Data 445[nm],0.032588832080
Spectral Data 446[nm],0.031220143661
Spectral Data 447[nm],0.030504520983
Spectral Data 448[nm],0.030321476981
Spectral Data 449[nm],0.030527587980
Spectral Data 450[nm],0.030979452655
Spectral Data 451[nm],0.031556747854
Spectral Data 452[nm],0.032207410783
Spectral Data 453[nm],0.032892096788
Spectral Data 454[nm],0.033571459353
Spectral Data 455[nm],0.034213468432
Spectral Data 456[nm],0.034819085151
Spectral Data 457[nm],0.035398565233
Spectral Data 458[nm],0.035962168127
Spectral Data 459[nm],0.036518551409
Spectral Data 460[nm],0.037065692246
Spectral Data 461[nm],0.037596970797
Spectral Data 462[nm],0.038105748594
Spectral Data 463[nm],0.038585856557
Spectral Data 464[nm],0.039035759866
Spectral Data 465[nm],0.039456773549
Spectral Data 466[nm],0.039850268513
Spectral Data 467[nm],0.040217589587
Spectral Data 468[nm],0.040560014546
Spectral Data 469[nm],0.040878757834
Spectral Data 470[nm],0.041175011545
Spectral Data 471[nm],0.041450086981
Spectral Data 472[nm],0.041710272431
Spectral Data 473[nm],0.041967991740
Spectral Data 474[nm],0.042236018926
Spectral Data 475[nm],0.042527083308
Spectral Data 476[nm],0.042850241065
Spectral Data 477[nm],0.043207973242
Spectral Data 478[nm],0.043602064252
Spectral Data 479[nm],0.044034287333
Spectral Data 480[nm],0.044499699026
Spectral Data 481[nm],0.044975936413
Spectral Data 482[nm],0.045437682420
Spectral Data 483[nm],0.045859612525
Spectral Data 484[nm],0.046217933297
Spectral Data 485[nm],0.046493466944
Spectral Data 486[nm],0.046668488532
Spectral Data 487[nm],0.046725273132
Spectral Data 488[nm],0.046648830175
Spectral Data 489[nm],0.046440381557
Spectral Data 490[nm],0.046107113361
Spectral Data 491[nm],0.045656204224
Spectral Data 492[nm],0.045096024871
Spectral Data 493[nm],0.044445943087
Spectral Data 494[nm],0.043731324375
Spectral Data 495[nm],0.042977575213
Spectral Data 496[nm],0.042209163308
Spectral Data 497[nm],0.041436113417
Spectral Data 498[nm],0.040657360107
Spectral Data 499[nm],0.039871551096
Spectral Data 500[nm],0.039077572525
