Date Saved,2022/06/19 09:29:47
Title,SPD_017_02°_4963K

Measuring Mode,Ambient
Viewing Angle [°],2
CCT [K],4963
⊿uv,-0.0017
Illuminance [lx],2530
Illuminance [fc],235
Peak Wavelength [nm],545
Tristimulus Value X,2505.7287
Tristimulus Value Y,2527.6654
Tristimulus Value Z,2212.3172
CIE1931 x,0.3458
CIE1931 y,0.3488
CIE1931 z,0.3053
CIE1976 u',0.2130
CIE1976 v',0.4834
Dominant Wavelength [nm],575
Purity [%],8.4
PPFD [umolm⁻²s⁻¹],42.2
CRI Ra,90.6
CRI R1,87.5
CRI R2,88.8
CRI R3,96.9
CRI R4,90.2
CRI R5,89.0
CRI R6,87.4
CRI R7,93.6
CRI R8,91.0
CRI R9,75.8
CRI R10,80.6
CRI R11,91.1
CRI R12,82.1
CRI R13,86.1
CRI R14,97.8
CRI R15,86.5
TM-30 Rf,92
TM-30 Rg,101
SSIt,61
SSId,80
SSI1,---
SSI2,---
TLCI,97
TLMF,---

Spectral Data 380[nm],0.007971235551
Spectral Data 385[nm],0.007096539252
Spectral Data 390[nm],0.005414825864
Spectral Data 395[nm],0.006048501935
Spectral Data 400[nm],0.009709107690
Spectral Data 405[nm],0.012115325779
Spectral Data 410[nm],0.009660149924
Spectral Data 415[nm],0.006018062122
Spectral Data 420[nm],0.005871972069
Spectral Data 425[nm],0.011441213079
Spectral Data 430[nm],0.028227644041
Spectral Data 435[nm],0.043704647571
Spectral Data 440[nm],0.038584467024
Spectral Data 445[nm],0.024946413934
Spectral Data 450[nm],0.021459681913
Spectral Data 455[nm],0.024640601128
Spectral Data 460[nm],0.028615584597
Spectral Data 465[nm],0.032516233623
Spectral Data 470[nm],0.036010231823
Spectral Data 475[nm],0.039326533675
Spectral Data 480[nm],0.043135154992
Spectral Data 485[nm],0.046579893678
Spectral Data 490[nm],0.047277670354
Spectral Data 495[nm],0.044825896621
Spectral Data 500[nm],0.041091784835
Spectral Data 505[nm],0.037300486118
Spectral Data 510[nm],0.033792581409
Spectral Data 515[nm],0.030447861180
Spectral Data 520[nm],0.027285845950
Spectral Data 525[nm],0.024534016848
Spectral Data 530[nm],0.023462768644
Spectral Data 535[nm],0.030161701143
Spectral Data 540[nm],0.048228003085
Spectral Data 545[nm],0.058429338038
Spectral Data 550[nm],0.047702763230
Spectral Data 555[nm],0.028616543859
Spectral Data 560[nm],0.022206591442
Spectral Data 565[nm],0.022156167775
Spectral Data 570[nm],0.025046234950
Spectral Data 575[nm],0.029800314456
Spectral Data 580[nm],0.033403813839
Spectral Data 585[nm],0.034242428839
Spectral Data 590[nm],0.033941149712
Spectral Data 595[nm],0.034504927695
Spectral Data 600[nm],0.035988111049
Spectral Data 605[nm],0.038252737373
Spectral Data 610[nm],0.040869664401
Spectral Data 615[nm],0.043264083564
Spectral Data 620[nm],0.044482972473
Spectral Data 625[nm],0.044085044414
Spectral Data 630[nm],0.042246155441
Spectral Data 635[nm],0.039539404213
Spectral Data 640[nm],0.036746300757
Spectral Data 645[nm],0.034447394311
Spectral Data 650[nm],0.032532393932
Spectral Data 655[nm],0.030473962426
Spectral Data 660[nm],0.027684831992
Spectral Data 665[nm],0.024149438366
Spectral Data 670[nm],0.020706223324
Spectral Data 675[nm],0.018000170588
Spectral Data 680[nm],0.015851086006
Spectral Data 685[nm],0.013976130635
Spectral Data 690[nm],0.012157201767
Spectral Data 695[nm],0.010426733643
Spectral Data 700[nm],0.009084816091
Spectral Data 705[nm],0.008033443242
Spectral Data 710[nm],0.006968019530
Spectral Data 715[nm],0.005983097479
Spectral Data 720[nm],0.005167147145
Spectral Data 725[nm],0.004602033645
Spectral Data 730[nm],0.004189677071
Spectral Data 735[nm],0.003620907431
Spectral Data 740[nm],0.003072930267
Spectral Data 745[nm],0.002859703498
Spectral Data 750[nm],0.003008906031
Spectral Data 755[nm],0.003205387155
Spectral Data 760[nm],0.003055785783
Spectral Data 765[nm],0.002639732556
Spectral Data 770[nm],0.002101560589
Spectral Data 775[nm],0.001608329010
Spectral Data 780[nm],0.001330841100

Spectral Data 380[nm],0.008473092690
Spectral Data 381[nm],0.008337501436
Spectral Data 382[nm],0.008129568771
Spectral Data 383[nm],0.007855717093
Spectral Data 384[nm],0.007525291294
Spectral Data 385[nm],0.007147650700
Spectral Data 386[nm],0.006736510433
Spectral Data 387[nm],0.006314205006
Spectral Data 388[nm],0.005903977901
Spectral Data 389[nm],0.005529151298
Spectral Data 390[nm],0.005216828082
Spectral Data 391[nm],0.005001971964
Spectral Data 392[nm],0.004920985084
Spectral Data 393[nm],0.005010216963
Spectral Data 394[nm],0.005291701760
Spectral Data 395[nm],0.005750199780
Spectral Data 396[nm],0.006364164408
Spectral Data 397[nm],0.007112034597
Spectral Data 398[nm],0.007966049947
Spectral Data 399[nm],0.008879547939
Spectral Data 400[nm],0.009801960550
Spectral Data 401[nm],0.010682717897
Spectral Data 402[nm],0.011469427496
Spectral Data 403[nm],0.012103018351
Spectral Data 404[nm],0.012522896752
Spectral Data 405[nm],0.012668469921
Spectral Data 406[nm],0.012498948723
Spectral Data 407[nm],0.012056939304
Spectral Data 408[nm],0.011407355778
Spectral Data 409[nm],0.010615115054
Spectral Data 410[nm],0.009742175229
Spectral Data 411[nm],0.008834425360
Spectral Data 412[nm],0.007932858542
Spectral Data 413[nm],0.007078481838
Spectral Data 414[nm],0.006312149111
Spectral Data 415[nm],0.005676853005
Spectral Data 416[nm],0.005215832032
Spectral Data 417[nm],0.004972267896
Spectral Data 418[nm],0.004980482161
Spectral Data 419[nm],0.005210932344
Spectral Data 420[nm],0.005606309976
Spectral Data 421[nm],0.006109202746
Spectral Data 422[nm],0.006678906269
Spectral Data 423[nm],0.007425448392
Spectral Data 424[nm],0.008533151820
Spectral Data 425[nm],0.010186584666
Spectral Data 426[nm],0.012554249726
Spectral Data 427[nm],0.015633802861
Spectral Data 428[nm],0.019322562963
Spectral Data 429[nm],0.023516736925
Spectral Data 430[nm],0.028101712465
Spectral Data 431[nm],0.032812446356
Spectral Data 432[nm],0.037283539772
Spectral Data 433[nm],0.041148364544
Spectral Data 434[nm],0.044055446982
Spectral Data 435[nm],0.045853886753
Spectral Data 436[nm],0.046552665532
Spectral Data 437[nm],0.046166583896
Spectral Data 438[nm],0.044715821743
Spectral Data 439[nm],0.042348306626
Spectral Data 440[nm],0.039336379617
Spectral Data 441[nm],0.035957116634
Spectral Data 442[nm],0.032486788929
Spectral Data 443[nm],0.029164014384
Spectral Data 444[nm],0.026174467057
Spectral Data 445[nm],0.023699847981
Spectral Data 446[nm],0.021921219304
Spectral Data 447[nm],0.020915197209
Spectral Data 448[nm],0.020543558523
Spectral Data 449[nm],0.020641950890
Spectral Data 450[nm],0.021046044305
Spectral Data 451[nm],0.021618861705
Spectral Data 452[nm],0.022304622456
Spectral Data 453[nm],0.023062586784
Spectral Data 454[nm],0.023852009326
Spectral Data 455[nm],0.024639109150
Spectral Data 456[nm],0.025421500206
Spectral Data 457[nm],0.026205642149
Spectral Data 458[nm],0.026997998357
Spectral Data 459[nm],0.027803637087
Spectral Data 460[nm],0.028618190438
Spectral Data 461[nm],0.029433257878
Spectral Data 462[nm],0.030240416527
Spectral Data 463[nm],0.031031731516
Spectral Data 464[nm],0.031804144382
Spectral Data 465[nm],0.032557580620
Spectral Data 466[nm],0.033292021602
Spectral Data 467[nm],0.034007444978
Spectral Data 468[nm],0.034704130143
Spectral Data 469[nm],0.035382613540
Spectral Data 470[nm],0.036043420434
Spectral Data 471[nm],0.036687213928
Spectral Data 472[nm],0.037319693714
Spectral Data 473[nm],0.037952825427
Spectral Data 474[nm],0.038598924875
Spectral Data 475[nm],0.039270259440
Spectral Data 476[nm],0.039975102991
Spectral Data 477[nm],0.040714580566
Spectral Data 478[nm],0.041489068419
