Date Saved,29/05/2022 20:53:56
Title,INDIGO-C7000-A_033_02°_3064K

Measuring Mode,Ambient
Viewing Angle [°],2
Tcp [K],3064
⊿uv,0.0017
Illuminance [lx],740
Illuminance [fc],68.7
Peak Wavelength [nm],599
Tristimulus Value X,789.3090
Tristimulus Value Y,739.8480
Tristimulus Value Z,285.7941
CIE1931 x,0.4349
CIE1931 y,0.4076
CIE1931 z,0.1575
CIE1976 u',0.2477
CIE1976 v',0.5225
Dominant Wavelength [nm],582
Purity [%],52.9
PPFD [umolm⁻²s⁻¹],10.6
CRI Ra,82.7
CRI R1,80.5
CRI R2,89.6
CRI R3,97.1
CRI R4,80.9
CRI R5,80.4
CRI R6,86.9
CRI R7,84.8
CRI R8,61.4
CRI R9,10.2
CRI R10,76.1
CRI R11,79.6
CRI R12,68.9
CRI R13,82.4
CRI R14,98.5
CRI R15,73.4
TM-30 Rf,85
TM-30 Rg,96
SSIt,77
SSId,52
SSI1,---
SSI2,---
TLCI,71
TLMF,---

Spectral Data 380[nm],0.000124303391
Spectral Data 385[nm],0.000174349538
Spectral Data 390[nm],0.000138847696
Spectral Data 395[nm],0.000015714568
Spectral Data 400[nm],0.000000000000
Spectral Data 405[nm],0.000026673113
Spectral Data 410[nm],0.000150626496
Spectral Data 415[nm],0.000279971457
Spectral Data 420[nm],0.000492580759
Spectral Data 425[nm],0.000858931278
Spectral Data 430[nm],0.001477966900
Spectral Data 435[nm],0.002520283218
Spectral Data 440[nm],0.004080460873
Spectral Data 445[nm],0.005791523494
Spectral Data 450[nm],0.006701720413
Spectral Data 455[nm],0.006269532721
Spectral Data 460[nm],0.005123726092
Spectral Data 465[nm],0.004086364992
Spectral Data 470[nm],0.003368993988
Spectral Data 475[nm],0.002954046242
Spectral Data 480[nm],0.002869436052
Spectral Data 485[nm],0.003083659336
Spectral Data 490[nm],0.003514281940
Spectral Data 495[nm],0.004110826645
Spectral Data 500[nm],0.004804322962
Spectral Data 505[nm],0.005489832256
Spectral Data 510[nm],0.006110978778
Spectral Data 515[nm],0.006636726670
Spectral Data 520[nm],0.007068463136
Spectral Data 525[nm],0.007446784060
Spectral Data 530[nm],0.007881588303
Spectral Data 535[nm],0.008312013932
Spectral Data 540[nm],0.008628462441
Spectral Data 545[nm],0.008970839903
Spectral Data 550[nm],0.009457218461
Spectral Data 555[nm],0.009984316304
Spectral Data 560[nm],0.010528474115
Spectral Data 565[nm],0.011107087135
Spectral Data 570[nm],0.011763059534
Spectral Data 575[nm],0.012459094636
Spectral Data 580[nm],0.013087571599
Spectral Data 585[nm],0.013657245785
Spectral Data 590[nm],0.014146557078
