sampleID;date;time;LY;x(D65);y(D65);X(D65);Y(D65);Z(D65)
A1;01102019;105803;10.2886174806;0.395301208684;0.359548778058;11.3116861299;10.2886174806;7.01505571903
A2;01102019;105803;34.5020397263;0.3839709984;0.355962845407;37.2167567809;34.5020397263;25.2071612759
A3;01102019;105804;18.88247015;0.249799142336;0.267369692604;17.6415838411;18.88247015;34.0990221177
A4;01102019;105804;13.4084600021;0.341221766811;0.430494969445;10.6279021518;13.4084600021;7.110250359
A5;01102019;105805;23.8185461658;0.26905365765;0.254567109497;25.1739785963;23.8185461658;44.5723753258
A6;01102019;105805;42.7717358557;0.260837197765;0.358313310445;31.1360460216;42.7717358557;45.4618720231
B1;01102019;105806;29.207257092;0.504440949487;0.404702797694;36.4053240634;29.207257092;6.55706347874
B2;01102019;105806;11.9790184311;0.213888280096;0.189794699232;13.4997007812;11.9790184311;37.6369446057
B3;01102019;105807;18.9688159571;0.461478154956;0.312092197723;28.0484236821;18.9688159571;13.7622867172
B4;01102019;105807;6.87281379461;0.290536604112;0.224074252001;8.91134953144;6.87281379461;14.8878738814
B5;01102019;105808;43.7394101504;0.376106030214;0.492068597459;33.4316312817;43.7394101504;11.7178053187
B6;01102019;105808;41.2747199403;0.470820934295;0.441105072755;44.0552680196;41.2747199403;8.24118700406
C1;01102019;105809;6.18401188968;0.190673663144;0.154308385874;7.6413747267;6.18401188968;26.2502829895
C2;01102019;105809;23.5811022748;0.304123278447;0.484452683212;14.803431546;23.5811022748;10.2912256331
C3;01102019;105810;11.7003493539;0.542001318645;0.31887329607;19.887537955;11.7003493539;5.10489787605
C4;01102019;105810;57.9166071505;0.448747681335;0.47532465436;54.6782981509;57.9166071505;9.25151402332
C5;01102019;105811;19.5612851962;0.368192098579;0.242723971805;29.6728443991;19.5612851962;31.3565308605
C6;01102019;105811;20.3722331023;0.199205541747;0.268140621003;15.1348263332;20.3722331023;40.4688707541
D1;01102019;105812;87.3591337079;0.318430242085;0.336926025616;82.5634945953;87.3591337079;89.3602025441
D2;01102019;105812;58.5086601203;0.312222206852;0.330337385114;55.3001379981;58.5086601203;63.30909031
D3;01102019;105813;37.2681589856;0.312093083734;0.329530007753;35.2961320343;37.2681589856;40.530595967
D4;01102019;105813;19.1801885705;0.308581444261;0.328281935649;18.0291683689;19.1801885705;21.2166071106
D5;01102019;105814;9.25506220856;0.308607661968;0.327254996045;8.72769902391;9.25506220856;10.2981277392
D6;01102019;105815;3.32254092099;0.308240358167;0.325179655241;3.14946272623;3.32254092099;3.74555107196
